epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,28441.2,0.92592,0.88412,1.41886,0.85787,0.68602,0.80503,0.55886,1.07604,0.85204,1.53947,0.0004985,0.0004985,0.0004985
93,28697.1,0.91857,0.88077,1.40601,0.82128,0.70171,0.81091,0.5578,1.08703,0.85004,1.54929,0.000482,0.000482,0.000482
94,28953.3,0.90913,0.86371,1.39388,0.81862,0.7047,0.81488,0.56869,1.06593,0.83572,1.53187,0.0004655,0.0004655,0.0004655
95,29214.8,0.92872,0.88551,1.41343,0.80585,0.71412,0.81453,0.56718,1.07243,0.82091,1.53345,0.000449,0.000449,0.000449
96,29470.6,0.91394,0.86693,1.39525,0.86425,0.68427,0.81415,0.57014,1.06838,0.84049,1.52954,0.0004325,0.0004325,0.0004325
97,29731.4,0.91065,0.86197,1.40054,0.83419,0.70723,0.81349,0.57544,1.05634,0.82941,1.52373,0.000416,0.000416,0.000416
98,29992.9,0.90826,0.85694,1.40425,0.84294,0.70149,0.81627,0.57029,1.06269,0.85148,1.53688,0.0003995,0.0003995,0.0003995
99,30264.5,0.89918,0.85146,1.38924,0.80975,0.71412,0.81213,0.56809,1.06541,0.84069,1.54294,0.000383,0.000383,0.000383
100,30520.5,0.90107,0.85082,1.39254,0.85245,0.69646,0.81653,0.57341,1.05858,0.84476,1.52356,0.0003665,0.0003665,0.0003665
101,30776.5,0.87749,0.82274,1.37508,0.84679,0.70264,0.8214,0.5826,1.03674,0.81474,1.50831,0.00035,0.00035,0.00035
102,31035.8,0.89047,0.82787,1.38129,0.84977,0.71871,0.82702,0.58276,1.05296,0.82747,1.51372,0.0003335,0.0003335,0.0003335
103,31295.2,0.89042,0.83946,1.38459,0.87045,0.69424,0.82599,0.58661,1.03204,0.81651,1.49775,0.000317,0.000317,0.000317
104,31567.8,0.87035,0.82502,1.37161,0.82032,0.71297,0.81833,0.58409,1.0454,0.80916,1.50472,0.0003005,0.0003005,0.0003005
105,31825.6,0.86652,0.81084,1.36988,0.83472,0.7256,0.83045,0.58548,1.04624,0.80352,1.50351,0.000284,0.000284,0.000284
